what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1415819245014
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415819249694
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1415819250720
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1415819253608
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1415819262322
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415819262572
started,bundle,org.eclipse.linuxtools.cdt.libhover,1.0.3.201101251503,"org.eclipse.linuxtools.cdt.libhover",1415819273447
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415819275491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415819353352
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415819355010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415819366826
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415819369094
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415819381296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1415819384593
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1415819389946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415819392709
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415819393395
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1415819394456
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415819396749
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415819401447
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1415819402040
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415819404411
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415819405363
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1415819407812
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1415819410932
